BUGID,FNAME,CHURN,LOC
25548,qt3d/src/quick3d/qquickitem3d.h,7.5,132
25548,qt3d/src/imports/threed/qgraphicslookattransform.cpp,2.5,213
25548,qt3d/src/quick3d/qquickitem3d.cpp,5,851
24696,qt3d/src/quick3d/qquickeffect.cpp,22.5,269
26314,qt3d/src/threed/scene_bezier/qglbezierscenehandler.cpp,2.5,126
26142,qt3d/demos/qt3d/shapes/shapes.cpp,12,369
26391,qt3d/src/threed/surfaces/qglwindowsurface.cpp,3.5,67
26391,qt3d/demos/qt3d/shapes/shapes.cpp,16.5,369
26391,qt3d/src/threed/painting/qglpainter.cpp,1,1198
26391,qt3d/src/threed/surfaces/qglcontextsurface.cpp,3,57
27189,qt3d/tests/auto/threed/qgllightparameters/tst_qgllightparameters.cpp,3,199
27189,qt3d/examples/qt3d/geometry/geometryview.cpp,1,51
27189,qt3d/tests/auto/threed/qray3d/tst_qray3d.cpp,1,396
27189,qt3d/tests/auto/threed/qglpainter/tst_qglpainter.cpp,1,602
27189,qt3d/tests/auto/threed/qglsection/tst_qglsection.cpp,1,458
27189,qt3d/tests/auto/threed/qglscenenode/tst_qglscenenode.cpp,3,618
27189,qt3d/tests/auto/threed/qsphere3d/tst_qsphere3d.cpp,1,154
27189,qt3d/tests/auto/threed/qgeometrydata/tst_qgeometrydata.cpp,75,514
27189,qt3d/src/threed/painting/qglpainter.cpp,2,1198
27189,qt3d/tests/auto/threed/qglmaterial/tst_qglmaterial.cpp,3,560
27189,qt3d/src/threed/geometry/qglsection.cpp,1,403
27189,qt3d/src/threed/math3d/qray3d.cpp,3,57
26623,qt3d/src/imports/threed/viewport.cpp,4,1256
26392,qt3d/src/threed/surfaces/qglwindowsurface.cpp,3.5,67
26392,qt3d/demos/qt3d/shapes/shapes.cpp,16.5,369
26392,qt3d/src/threed/painting/qglpainter.cpp,1,1198
26392,qt3d/src/threed/surfaces/qglcontextsurface.cpp,3,57
9390,qt3d/src/quick3d/qquickitem3d.cpp,6.5,851
27776,qtactiveqt/src/activeqt/shared/qaxtypes.cpp,92.5,1061
27776,qtactiveqt/src/activeqt/shared/qaxtypefunctions.h,48,48
27776,qtactiveqt/src/activeqt/container/qaxselect.cpp,32,90
27776,qtactiveqt/src/activeqt/shared/qaxtypefunctions.cpp,115.5,115.5
27776,qtactiveqt/doc/src/snippets/code/src_activeqt_container_qaxselect.cpp,24,24
27776,qtactiveqt/src/activeqt/container/qaxselect.h,9.5,15
