BUGID,FNAME,CHURN,LOC
35284,qtactiveqt/src/activeqt/control/qaxserverbase.cpp,57,3285
35286,qtactiveqt/src/activeqt/control/qaxserverbase.cpp,57,3285
35285,qtactiveqt/src/activeqt/control/qaxserverbase.cpp,57,3285
35265,qtactiveqt/src/activeqt/control/qaxserverbase.cpp,57,3285
32343,qtactiveqt/src/activeqt/control/qaxserverbase.cpp,4,3285
35262,qtactiveqt/src/activeqt/control/qaxserverbase.cpp,57,3285
2870,qtactiveqt/src/tools/idc/main.cpp,15,264
35263,qtactiveqt/src/activeqt/control/qaxserverbase.cpp,57,3285
35264,qtactiveqt/src/activeqt/control/qaxserverbase.cpp,57,3285
26011,qtactiveqt/src/activeqt/control/qaxserverbase.cpp,1,3285
35267,qtactiveqt/src/activeqt/control/qaxserverbase.cpp,57,3285
33711,qtactiveqt/src/activeqt/container/qaxselect.cpp,110,128
35136,qtactiveqt/src/activeqt/control/qaxserverbase.cpp,57,3285
34989,qtactiveqt/src/activeqt/control/qaxserverdll.cpp,6,69
31672,qtactiveqt/src/activeqt/control/qaxserverbase.cpp,4,3285
35266,qtactiveqt/src/activeqt/control/qaxserverbase.cpp,57,3285
35283,qtactiveqt/src/activeqt/control/qaxserverbase.cpp,57,3285
33345,qtbase/src/sql/drivers/ibase/qsql_ibase.cpp,4,1530
33078,qtbase/src/widgets/kernel/qwidget_qpa.cpp,1,785
32362,qtbase/src/corelib/itemmodels/qabstractitemmodel.cpp,85,1248
28336,qtbase/qmake/generators/unix/unixmake2.cpp,8,1211
28336,qtbase/qmake/generators/unix/unixmake.cpp,34.5,789
32675,qtbase/src/tools/qdoc/tokenizer.cpp,3,599
32675,qtbase/src/corelib/tools/qscopedpointer.cpp,2,2
33730,qtbase/src/corelib/io/qprocess_win.cpp,2,610
30008,qtbase/src/plugins/platforms/windows/qwindowscontext.cpp,17,646
30008,qtbase/src/plugins/platforms/windows/qwindowstabletsupport.cpp,236.5,236.5
30008,qtbase/src/plugins/platforms/windows/qwindowstabletsupport.h,71,71
30008,qtbase/src/plugins/platforms/windows/qwindowscontext.h,1.5,113
35353,qtbase/src/gui/opengl/qopenglengineshadersource_p.h,2,83
35353,qtbase/src/opengl/gl2paintengineex/qglengineshadersource_p.h,2,83
32153,qtbase/src/tools/qdoc/htmlgenerator.cpp,4,3746
33052,qtbase/src/corelib/json/qjsonobject.cpp,1,282
27555,qtbase/src/network/kernel/qauthenticator.cpp,1,756
35591,qtbase/src/corelib/thread/qthread_win.cpp,3,387
34315,qtbase/src/widgets/widgets/qlineedit_p.h,1.5,61
34315,qtbase/src/widgets/widgets/qlineedit_p.cpp,6.5,178
34315,qtbase/src/widgets/widgets/qlineedit.cpp,3,881
34315,qtbase/tests/auto/widgets/widgets/qlineedit/tst_qlineedit.cpp,1.5,3051
33565,qtbase/src/plugins/platforms/cocoa/qcocoaprintersupport.h,1,14
26668,qtbase/src/dbus/qdbusxmlparser.cpp,1,284
32203,qtbase/tests/auto/widgets/itemviews/qheaderview/tst_qheaderview.cpp,32.5,2084
32203,qtbase/src/widgets/itemviews/qheaderview_p.h,1,234
32203,qtbase/src/widgets/itemviews/qheaderview.cpp,12,2198
34663,qtbase/src/widgets/dialogs/qcolordialog_p.h,2.5,55
34663,qtbase/src/widgets/dialogs/qcolordialog.cpp,50,1217
34663,qtbase/src/widgets/dialogs/qcolordialog.h,1.5,57
34345,qtbase/src/printsupport/kernel/qprinter.cpp,85.5,665
34345,qtbase/src/printsupport/kernel/qprinter_p.h,14,43
34345,qtbase/tests/auto/printsupport/kernel/qprinter/tst_qprinter.cpp,7.5,845
32404,qtbase/src/network/access/qhttpnetworkconnectionchannel.cpp,1.5,816
29565,qtbase/src/plugins/platforms/android/src/qandroidplatformintegration.h,1,60
29565,qtbase/src/plugins/platforms/android/src/qandroidplatformtheme.cpp,35.5,27
29565,qtbase/src/gui/kernel/qplatformtheme.h,2,211
29565,qtbase/src/plugins/platforms/android/src/qandroidplatformtheme.h,4,8
29565,qtbase/src/widgets/kernel/qapplication_qpa.cpp,5,311
29565,qtbase/src/widgets/kernel/qapplication.cpp,1.5,2200
29565,qtbase/src/widgets/styles/qandroidstyle_p.h,11,278
29565,qtbase/src/plugins/platforms/android/src/qandroidplatformintegration.cpp,3.5,132
29565,qtbase/src/android/java/src/org/qtproject/qt5/android/bindings/QtActivity.java,7.5,1119
29565,qtbase/src/widgets/styles/qandroidstyle.cpp,182,1283
8361,qtbase/src/plugins/platforms/windows/qwindowswindow.h,1.5,231
8361,qtbase/tests/auto/widgets/kernel/qwidget/tst_qwidget.cpp,0.5,7178
8361,qtbase/src/plugins/platforms/windows/qwindowswindow.cpp,15.5,1465
2450,qtbase/tests/manual/dialogs/messageboxpanel.cpp,9,9
2450,qtbase/tests/manual/dialogs/messageboxpanel.h,1.5,1.5
2450,qtbase/src/widgets/dialogs/qmessagebox.h,2,202
2450,qtbase/src/widgets/dialogs/qmessagebox.cpp,30.5,1037
33446,qtbase/qmake/generators/win32/msvc_vcproj.cpp,4,1162
34886,qtbase/qmake/generators/makefile.cpp,1,2938
31497,qtbase/src/plugins/platforms/cocoa/qcocoawindow.h,0.5,103
22890,qtbase/src/corelib/tools/qstring.h,2,1031
22890,qtbase/src/corelib/tools/qstring.cpp,16,3468
33620,qtbase/src/plugins/platforms/eglfs/qeglfswindow.cpp,8.5,82
33620,qtbase/src/plugins/platforms/eglfs/qeglfswindow.h,0.5,24
25867,qtbase/src/plugins/platforms/cocoa/qnsview.h,2,64
11625,qtbase/src/corelib/tools/qbitarray.cpp,3,191
32560,qtbase/src/platformsupport/input/evdevkeyboard/qevdevkeyboardhandler.cpp,6.5,303
32560,qtbase/src/platformsupport/input/evdevkeyboard/qevdevkeyboard_defaultmap_p.h,416,738
33244,qtbase/src/widgets/kernel/qwidget.cpp,5,5092
34421,qtbase/src/gui/kernel/qwindowsysteminterface.h,1,103
34421,qtbase/src/plugins/platforms/eglfs/qeglfswindow.cpp,3,82
34421,qtbase/src/gui/kernel/qwindowsysteminterface.cpp,3.5,510
34421,qtbase/src/gui/kernel/qwindowsysteminterface_p.h,2.5,359
34421,qtbase/src/gui/kernel/qguiapplication.cpp,9,1693
31490,qtbase/src/tools/qdoc/htmlgenerator.cpp,1,3746
32807,qtbase/src/widgets/widgets/qmenubar.cpp,0.5,1184
32807,qtbase/tests/auto/widgets/widgets/qmenubar/tst_qmenubar.cpp,12.5,824
34048,qtbase/src/plugins/platforms/xcb/qxcbwindow.cpp,1,1505
32449,qtbase/tools/configure/configureapp.cpp,5.5,3488
31523,qtbase/src/plugins/platforms/windows/qwindowscontext.cpp,3.5,646
33360,qtbase/src/corelib/animation/qabstractanimation.cpp,1,708
33360,qtbase/src/gui/text/qstatictext.cpp,3,382
33360,qtbase/src/corelib/thread/qthread.cpp,3,199
33360,qtbase/src/widgets/widgets/qlcdnumber.cpp,4,789
33360,qtbase/src/opengl/qglframebufferobject.cpp,14,585
33360,qtbase/src/corelib/io/qtemporarydir.cpp,3,82
33360,qtbase/src/corelib/io/qdiriterator.cpp,3,235
33360,qtbase/src/corelib/tools/qlist.cpp,28,209
33360,qtbase/src/gui/painting/qbackingstore.cpp,1,114
33360,qtbase/src/tools/qdoc/config.cpp,1,764
33360,qtbase/src/widgets/styles/qstylepainter.cpp,1,2
33360,qtbase/src/dbus/qdbusservicewatcher.cpp,1,134
33360,qtbase/src/gui/image/qiconengine.cpp,2,63
33360,qtbase/src/corelib/kernel/qbasictimer.cpp,3,42
33360,qtbase/src/gui/image/qicon.cpp,3,639
33360,qtbase/src/corelib/io/qtextstream.cpp,10,1391
33360,qtbase/examples/widgets/tutorials/threads/helloconcurrent/helloconcurrent.cpp,31.5,12
33360,qtbase/src/corelib/io/qprocess.cpp,13,886
33360,qtbase/src/corelib/kernel/qwineventnotifier.cpp,1,79
33360,qtbase/src/network/access/qnetworkaccesscache.cpp,1,239
33360,qtbase/src/corelib/kernel/qabstracteventdispatcher.cpp,9,98
33360,qtbase/src/corelib/kernel/qvariant.cpp,30,1484
33360,qtbase/src/gui/image/qimagereader.cpp,9,633
33360,qtbase/src/gui/text/qrawfont.cpp,5,289
33360,qtbase/src/widgets/itemviews/qabstractitemdelegate.cpp,2,88
33360,qtbase/src/dbus/qdbusmetatype.cpp,2,226
33360,qtbase/src/corelib/tools/qcollator.cpp,4,202
33360,qtbase/src/dbus/qdbusabstractinterface.cpp,4,434
33360,qtbase/src/corelib/io/qlockfile.cpp,9,104
33360,qtbase/src/gui/kernel/qclipboard.cpp,14,110
33360,qtbase/src/gui/opengl/qopenglpaintdevice.cpp,1,137
33360,qtbase/src/gui/itemmodels/qstandarditemmodel.cpp,6,1500
33360,qtbase/src/gui/text/qtextformat.cpp,46,777
33360,qtbase/src/gui/kernel/qsurfaceformat.cpp,8,300
33360,qtbase/src/dbus/qdbusserver.cpp,1,59
33360,qtbase/src/corelib/tools/qline.cpp,8,120
33360,qtbase/src/widgets/widgets/qlineedit.cpp,8,881
33360,qtbase/src/gui/text/qtexttable.cpp,5,701
33360,qtbase/src/corelib/kernel/qcoreevent.cpp,8,78
33360,qtbase/src/corelib/mimetypes/qmimetype.cpp,5,177
33360,qtbase/src/corelib/thread/qatomic.cpp,24,0
33360,qtbase/src/widgets/itemviews/qstyleditemdelegate.cpp,2,341
33360,qtbase/src/widgets/widgets/qabstractscrollarea.cpp,2,710
33360,qtbase/src/network/kernel/qnetworkinterface.cpp,3,239
33360,qtbase/src/tools/qdoc/ditaxmlgenerator.cpp,3,4968
33360,qtbase/src/tools/qdoc/qmlvisitor.cpp,1,423
33360,qtbase/src/corelib/kernel/qtimer.cpp,2,105
33360,qtbase/src/widgets/effects/qgraphicseffect.cpp,4,446
33360,qtbase/src/gui/text/qglyphrun.cpp,9,191
33360,qtbase/src/gui/image/qimage.cpp,22,3347
33360,qtbase/src/corelib/thread/qreadwritelock.cpp,6,184
33360,qtbase/src/tools/moc/generator.cpp,3,1153
33360,qtbase/src/gui/image/qimageiohandler.cpp,12,117
33360,qtbase/src/gui/painting/qpainter.cpp,10,3759
33360,qtbase/src/gui/kernel/qscreen.cpp,4,230
33360,qtbase/src/widgets/kernel/qlayoutitem.cpp,4,365
33360,qtbase/src/corelib/io/qiodevice.cpp,22,538
33360,qtbase/src/corelib/tools/qstringlist.cpp,2,172
33360,qtbase/src/corelib/tools/qcommandlineparser.cpp,8,8
33360,qtbase/src/gui/text/qcssparser.cpp,1,2415
33360,qtbase/examples/widgets/tutorials/threads/movedobject/thread.h,33.5,19
33360,qtbase/src/corelib/kernel/qmetaobjectbuilder.cpp,16,1560
33360,qtbase/src/gui/kernel/qsessionmanager.cpp,4,101
33360,qtbase/src/widgets/kernel/qlayout.cpp,4,769
33360,qtbase/src/plugins/platforms/xcb/qxcbwindow.cpp,1,1505
33360,qtbase/src/corelib/itemmodels/qabstractitemmodel.cpp,1,1248
33360,qtbase/src/network/access/qnetworkcookie.cpp,7,526
33360,qtbase/src/gui/kernel/qkeysequence.cpp,12,812
33360,qtbase/src/widgets/itemviews/qitemdelegate.cpp,2,777
33360,qtbase/src/tools/qdoc/cppcodemarker.cpp,3,1138
33360,qtbase/src/corelib/io/qlockfile_p.h,1,23
33360,qtbase/src/corelib/kernel/qmetatype.cpp,24,1143
33360,qtbase/src/corelib/kernel/qsystemsemaphore.cpp,2,55
33360,qtbase/src/corelib/kernel/qpointer.cpp,21,0
33360,qtbase/src/corelib/kernel/qobject.cpp,18,1999
33360,qtbase/src/gui/painting/qregion.cpp,16,315
33360,qtbase/src/gui/text/qtextlist.cpp,1,135
33360,qtbase/src/network/ssl/qsslkey.cpp,4,249
33360,qtbase/src/widgets/util/qundostack.cpp,11,415
33360,qtbase/src/widgets/widgets/qgroupbox.cpp,1,430
33360,qtbase/src/sql/kernel/qsqlquery.cpp,25,406
33360,qtbase/src/gui/image/qimagewriter.cpp,4,320
33360,qtbase/src/tools/qdoc/codeparser.cpp,3,283
33360,qtbase/src/corelib/tools/qvector.cpp,14,0
33360,qtbase/src/widgets/kernel/qaction.cpp,7,574
33360,qtbase/src/corelib/io/qfile.cpp,28,414
33360,qtbase/src/corelib/tools/qsharedpointer.cpp,16,97
33360,qtbase/src/widgets/kernel/qgridlayout.cpp,2,1005
33360,qtbase/src/gui/kernel/qplatformscreenpageflipper.cpp,1,28
33360,qtbase/src/dbus/qdbusabstractadaptor.cpp,2,248
33360,qtbase/src/widgets/widgets/qplaintextedit.cpp,6,1651
33360,qtbase/src/gui/opengl/qopengltimerquery.cpp,8,420
33360,qtbase/src/corelib/kernel/qtimerinfo_unix.cpp,1,352
33360,qtbase/src/corelib/kernel/qtranslator.cpp,5,607
33360,qtbase/src/widgets/itemviews/qheaderview.cpp,8,2198
33360,qtbase/src/tools/qdoc/codemarker.cpp,1,497
33360,qtbase/src/corelib/tools/qlinkedlist.cpp,21,7
33360,qtbase/src/widgets/graphicsview/qgraphicslayout.cpp,3,173
33360,qtbase/src/widgets/widgets/qtoolbox.cpp,1,418
33360,qtbase/src/testlib/qtestcase.cpp,6,930
33360,qtbase/src/sql/kernel/qsqlfield.cpp,10,205
33360,qtbase/src/sql/models/qsqlquerymodel.cpp,4,311
33360,qtbase/src/dbus/qdbusconnection.cpp,13,479
33360,qtbase/src/network/kernel/qnetworkproxy.cpp,8,518
33360,qtbase/src/network/kernel/qhostaddress.cpp,16,581
33360,qtbase/src/sql/models/qsqlrelationaltablemodel.cpp,5,375
33360,qtbase/src/gui/kernel/qplatformsystemtrayicon_qpa.cpp,3,8
33360,qtbase/src/corelib/kernel/qmimedata.cpp,11,270
33360,qtbase/src/widgets/dialogs/qfilesystemmodel.cpp,7,1148
33360,qtbase/src/corelib/io/qnoncontiguousbytedevice.cpp,2,280
33360,qtbase/src/gui/accessible/qaccessible.cpp,7,362
33360,qtbase/src/corelib/plugin/quuid.cpp,12,340
33360,qtbase/src/widgets/kernel/qwidget.cpp,40,5092
33360,qtbase/src/gui/math3d/qvector4d.cpp,5,128
33360,qtbase/src/gui/kernel/qplatforminputcontext.cpp,3,92
33360,qtbase/src/gui/text/qtextdocumentfragment.cpp,1,837
33360,qtbase/src/gui/painting/qpaintengine_raster.cpp,9,3319
33360,qtbase/src/gui/kernel/qguiapplication.cpp,12,1693
33360,qtbase/src/network/access/qhttpmultipart.cpp,2,231
33360,qtbase/src/gui/image/qpixmap.cpp,17,554
33360,qtbase/src/sql/doc/snippets/code/src_sql_kernel_qsqldatabase.cpp,1,49
